latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
39.1768,-104.4016,3a3e4634,A27330,165,57900,4,,BALL,N257TH,1753017595,,,,,0,-64,HBAL732,
-33.3779,-70.5793,3a9f267b,10C32270,90,2240,1,,GLID,RPT-1,1753017596,,,,,0,0,RPT1,
45.808,8.7723,3a9f26a5,DF0862,180,803,0,,GRND,,1753017537,,,,,0,0,LILC,
36.917,-4.6831,3a9f26d1,108E20F0,204,1371,3,,GLID,EGC19-4,1753017572,,,,,0,0,EGC194,
43.3285,-96.6101,3b0eacaf,A26F79,285,59600,7,,BALL,N256TH,1753017595,,,,,0,128,HBAL756,
44.7818,6.6566,3b4e5cb8,DDE2CC,282,11076,51,,GLID,OY-PXF,1753017567,,,,,0,-192,OYPXF,
35.0595,-89.9564,3b522ec9,A17B40,89,0,0,,B763,N195FE,1753017594,YMX,MEM,FX131,FX,1,0,FDX131,FDX
39.0321,-84.6507,3b5274d7,A1DB3A,89,0,0,,B763,N219CY,1753017597,ATL,CVG,GB110,GB,1,0,ABX110,ABX
-33.378,-70.5793,3b52a7a1,101C2902,221,2234,1,,GLID,CC-TR21,1753017594,,,,,0,320,CCTR21,
47.61,19.1463,3b52bd6e,10F74B20,315,419,1,,GLID,HA-5176,1753017590,,,,,0,0,HA5176,
49.9409,15.5522,3b52e783,106F7F54,271,209,0,,GLID,LKPN7,1753017595,,,,,0,0,LKPN7,
50.4685,16.202,3b531aad,102BA105,88,1315,2,,GLID,OK-7231,1753017568,,,,,0,0,OK7231,
52.2843,16.2897,3b53238a,1024E2B0,347,6043,73,,GLID,SP-2831,1753017580,,,,,0,0,SP2831,
55.4515,11.6419,3b532fe3,DDEF00,154,104,0,,GLID,OY-XZC,1753017532,,,,,1,0,OYXZC,
37.7196,-122.2161,3b536dad,A168AD,312,0,0,,B763,N190FE,1753017593,EWR,OAK,FX3806,FX,1,0,FDX3806,FDX
39.7122,-86.286,3b539f47,A1139F,315,0,0,,B763,N169FE,1753017592,PHX,IND,FX3629,FX,1,0,FDX3629,FDX
42.5187,-71.3948,3b54ad7b,A287F3,89,301,2,,,N262RS,1753017542,,,,,0,0,N262RS,
33.638,-84.4203,3b54e724,A7615F,90,0,0,,A359,N575DZ,1753017593,JNB,ATL,DL201,DL,1,0,DAL201,DAL
39.0008,-119.7553,3b54f544,A68791,34,0,0,,NIMB,N52LB,1753017597,MEV,MEV,,,1,0,N52LB,
39.2513,26.7343,3b54fdae,000001,12,18050,80,,0000,00000000,1753017595,CII,,,,0,0,S48,
51.3698,11.1311,3b551956,484E08,113,1840,60,,DG1T,PH-1380,1753017542,,,,,0,384,PH1380,
42.3622,-71.0203,3b552fad,A04641,157,0,0,,A321,N117AN,1753017596,LAX,BOS,AA382,AA,1,0,AAL382,AAL
42.2915,13.8253,3b5536be,D00D14,329,5816,103,,GLID,D-KSTA,1753017565,,,,,0,64,DKSTA,
56.7303,13.8168,3b554b31,DDDB26,139,6643,72,,GLID,SE-UUZ,1753017577,,,,,0,0,SEUUZ,
44.8628,-131.8338,3b555da0,80153F,122,38000,504,,B77L,VT-AEG,1753017594,DEL,SFO,AI173,AI,0,0,AIC173,AIC
22.2975,115.8762,3b555e06,78023E,268,28575,494,,B77W,B-KPR,1753017595,LAX,HKG,,,0,-1984,CPA883D,CPA
35.061,-89.9806,3b555e5f,AC1E56,89,0,0,,B77L,N880FD,1753017597,CGN,MEM,FX5225,FX,1,0,FDX5225,FDX
45.5248,-68.9214,3b55660a,8015F7,210,40000,417,,A359,VT-JRA,1753017596,DEL,JFK,AI101,AI,0,0,AIC101,AIC
33.9454,-118.4102,3b556d9d,A66935,261,0,0,,A359,N512DN,1753017592,SYD,LAX,DL40,DL,1,0,DAL40,DAL
25.3305,-79.4146,3b556fd9,896453,281,18900,399,,B77W,A6-EQD,1753017596,DXB,MIA,EK213,EK,0,-960,UAE213,UAE
