latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,departure_time,arrival_time
39.6518,-104.8632,3a3e4634,A27330,19,52700,18,,BALL,N257TH,1753121656,,,,,0,64,HBAL732,,,
-33.3779,-70.5791,3a9f267b,10C32270,238,2283,1,,GLID,RPT-1,1753121657,,,,,0,-640,RPT1,,,
45.8081,8.7723,3a9f26a5,DF0862,33,800,0,,GRND,,1753121626,,,,,0,0,LILC,,,
36.9169,-4.683,3a9f26d1,108E20F0,353,1305,2,,GLID,EGC19-4,1753121575,,,,,0,0,EGC194,,,
43.5228,-96.8421,3b0eacaf,A26F79,45,57000,4,,BALL,N256TH,1753121656,,,,,0,-64,HBAL756,,,
50.424,9.1987,3b434aa5,DD98AC,89,1036,3,,GLID,TEST,1753121603,,,,,0,0,TEST,,,
47.6181,19.1434,3b52bd6e,10F74B20,59,124,0,,GLID,HA-5176,1753121609,,,,,1,0,HA5176,,,
47.6175,19.143,3b52d6ea,10747500,180,570,1,,GLID,HA-4394,1753121655,,,,,0,0,HA4394,,,
37.7196,-122.2161,3b536dad,A168AD,312,0,0,,B763,N190FE,1753121656,EWR,OAK,FX3806,FX,1,0,FDX3806,FDX,1752925750.0,1752946252.0
53.3089,18.4349,3b5487c8,488062,7,3800,108,,P06T,SP-ADC,1753121655,,,,,0,-128,SPADC,,1753121374.0,1753038798.0
