IATA,Continent,Latitude,Longitude
GKA,Oceania,-6.081689834590001,145.391998291
MAG,Oceania,-5.20707988739,145.789001465
HGU,Oceania,-5.826789855957031,144.29600524902344
LAE,Oceania,-6.569803,146.725977
POM,Oceania,-9.44338035583496,147.22000122070312
WWK,Oceania,-3.58383011818,143.669006348
UAK,North America,61.1604995728,-45.4259986877
GOH,North America,64.19090271,-51.6781005859
SFJ,North America,67.0122218992,-50.7116031647
THU,North America,76.5311965942,-68.7032012939
AEY,Europe,65.66000366210938,-18.07270050048828
EGS,Europe,65.2833023071289,-14.401399612426758
HFN,Europe,64.295601,-15.2272
HZK,Europe,65.952301,-17.426001
IFJ,Europe,66.05809783935547,-23.135299682617188
KEF,Europe,63.985000610352,-22.605600357056
PFJ,Europe,65.555801,-23.965
RKV,Europe,64.1299972534,-21.9405994415
SIJ,Europe,66.133301,-18.9167
VEY,Europe,63.42430114746094,-20.27890014648437
YAM,North America,46.48500061035156,-84.5093994140625
YAY,North America,51.3918991089,-56.083099365200006
YAZ,North America,49.079833,-125.775583
YBB,North America,68.534401,-89.808098
YBC,North America,49.13249969482422,-68.20439910888672
YBG,North America,48.33060073852539,-70.99639892578125
YBK,North America,64.29889678960001,-96.077796936
YBL,North America,49.950801849365234,-125.27100372314452
YBR,North America,49.91,-99.951897
YCB,North America,69.1081008911,-105.138000488
YCD,North America,49.0549702249,-123.869862556
YCG,North America,49.2963981628,-117.632003784
YCH,North America,47.007801,-65.449203
YCL,North America,47.990799,-66.330299
YCO,North America,67.816704,-115.143997
YCT,North America,52.0750007629,-111.444999695
YCW,North America,49.1528015137,-121.939002991
YCY,North America,70.4860992432,-68.5167007446
YZS,North America,64.1932983398,-83.3593978882
YDA,North America,64.04309844970703,-139.1280059814453
YDB,North America,61.37110137939453,-139.04100036621094
YDF,North America,49.21080017089844,-57.39139938354492
YDL,North America,58.4221992493,-130.031997681
YDN,North America,51.10079956054688,-100.052001953125
YDQ,North America,55.7422981262207,-120.18299865722656
YEG,North America,53.3097000122,-113.580001831
YEK,North America,61.0942001343,-94.0708007812
YEN,North America,49.2103004456,-102.966003418
YET,North America,53.5788993835,-116.464996338
YEU,North America,79.9946975708,-85.814201355
YEV,North America,68.30419921880001,-133.483001709
YFB,North America,63.756402,-68.555801
YFC,North America,45.868900299072266,-66.53720092773438
YFE,North America,48.74610137939453,-69.09719848632812
YFO,North America,54.6781005859375,-101.68199920654295
YFR,North America,61.1808013916,-113.690002441
YFS,North America,61.76020050048828,-121.23699951171876
YGK,North America,44.22529983520508,-76.5969009399414
YGL,North America,53.625301361083984,-77.7042007446289
YGP,North America,48.7752990723,-64.4785995483
YGQ,North America,49.77830123901367,-86.93939971923828
YGR,North America,47.42470169067383,-61.778099060058594
YHB,North America,52.8166999817,-102.310997009
YHD,North America,49.831699,-92.744202
YHI,North America,70.76280212402344,-117.80599975585938
YHK,North America,68.635597229,-95.8497009277
YHM,North America,43.1735992432,-79.93499755859999
YHU,North America,45.5175018311,-73.4169006348
YHY,North America,60.8396987915,-115.782997131
YHZ,North America,44.8807983398,-63.5085983276
YIB,North America,48.7738990784,-91.6386032104
YIO,North America,72.6832962036,-77.9666976929
YJN,North America,45.29439926147461,-73.28109741210938
YJT,North America,48.5442008972168,-58.54999923706055
YKA,North America,50.7022018433,-120.444000244
YKF,North America,43.4608001709,-80.3786010742
YKL,North America,54.805301666259766,-66.8052978515625
YKY,North America,51.5175018311,-109.180999756
YKZ,North America,43.86220169067383,-79.37000274658203
YLD,North America,47.81999969482422,-83.3467025756836
YLJ,North America,54.125301361083984,-108.52300262451172
YLL,North America,53.309200286865234,-110.072998046875
YLT,North America,82.51779937740001,-62.2806015015
YLW,North America,49.9561004639,-119.377998352
YMA,North America,63.61640167236328,-135.8679962158203
YMJ,North America,50.330299377441406,-105.55899810791016
YMM,North America,56.653301239,-111.222000122
YMO,North America,51.29109954833984,-80.60780334472656
YMW,North America,46.2728004456,-75.9906005859
YMX,North America,45.679501,-74.038696
YNA,North America,50.18999862670898,-61.78919982910156
YND,North America,45.5217018127,-75.5635986328
YNM,North America,49.76169967651367,-77.80280303955078
YOC,North America,67.57060241699219,-139.83900451660156
YOD,North America,54.40499877929688,-110.27899932861328
YOJ,North America,58.62139892578125,-117.16500091552734
YOW,North America,45.3224983215332,-75.66919708251953
YPA,North America,53.2141990662,-105.672996521
YPE,North America,56.226898,-117.446999
YPG,North America,49.903099,-98.273817
YPL,North America,51.4463996887207,-90.21420288085938
YPN,North America,49.83639907836914,-64.2885971069336
YPQ,North America,44.22999954223633,-78.36329650878906
YPR,North America,54.2860984802,-130.445007324
YPY,North America,58.7672004699707,-111.11699676513672
YQA,North America,44.974700927734375,-79.30329895019531
YQB,North America,46.7911,-71.393303
YQF,North America,52.18220138549805,-113.8939971923828
YQG,North America,42.27560043334961,-82.95559692382812
YQH,North America,60.11640167236328,-128.82200622558594
YQK,North America,49.78829956054688,-94.36309814453124
YQL,North America,49.6302986145,-112.800003052
YQM,North America,46.11220169067383,-64.67859649658203
YQQ,North America,49.71080017089844,-124.88700103759766
YQR,North America,50.43190002441406,-104.66600036621094
YQT,North America,48.37189865112305,-89.32389831542969
YQU,North America,55.1796989441,-118.885002136
YQV,North America,51.26470184326172,-102.46199798583984
YQW,North America,52.76919937133789,-108.24400329589844
YQX,North America,48.9369010925293,-54.56809997558594
YQY,North America,46.1614,-60.047798
YQZ,North America,53.026100158691406,-122.51000213623048
YRB,North America,74.7169036865,-94.9693984985
YRI,North America,47.76440048217773,-69.58470153808594
YRJ,North America,48.52000045776367,-72.2656021118164
YRM,North America,52.4296989441,-114.903999329
YRT,North America,62.8114013672,-92.1157989502
YSB,North America,46.625,-80.79889678955078
YSC,North America,45.4385986328125,-71.69139862060547
YSJ,North America,45.31610107421875,-65.89029693603516
YSM,North America,60.020301818847656,-111.96199798583984
YSR,North America,72.982201,-84.613602
YSU,North America,46.44060134887695,-63.83359909057617
YSY,North America,71.9938964844,-125.242996216
YTE,North America,64.2300033569,-76.5267028809
YTH,North America,55.80110168457031,-97.86419677734376
YTR,North America,44.118900299072266,-77.5280990600586
YTS,North America,48.5696983337,-81.376701355
